size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating_label
151573504,0.0,334293,919,4.0,1528,1,18,37,5,16,1,0
27069440,1.99,2302,3,5.0,1226,2,14,37,5,1,1,0
101259264,0.0,60659,57,2.5,590,1,18,37,5,10,1,2
168192000,2.99,2562,10,4.5,1226,2,7,37,5,4,1,0
17485824,4.99,3042,6,4.0,962,2,5,37,5,11,1,0
5234688,0.99,338,12,2.0,1209,2,22,43,0,1,1,2
237913088,2.99,16434,3,4.5,601,2,8,37,0,9,1,0
233513984,2.99,10046,7,5.0,601,2,8,37,0,9,1,0
110420992,0.0,29107,85,4.0,551,0,13,37,5,10,1,2
47774720,1.99,878,48,4.5,1533,1,7,38,5,1,1,0
22259712,0.99,1140,20,3.5,1000,2,7,37,4,1,1,0
431771648,2.99,35074,403,4.0,962,2,7,43,0,6,1,0
120357888,0.0,59639,11,2.5,524,1,19,37,4,1,1,2
90828800,4.99,2913,357,5.0,1465,2,8,43,5,1,1,0
30796800,0.0,39722,0,0.0,1226,2,14,37,5,1,1,2
151397376,0.0,81006,25,3.0,1200,2,4,37,0,1,1,0
46880768,0.0,53465,204,4.0,817,2,7,37,5,1,1,0
48741376,0.99,395261,88,4.5,928,2,7,37,0,1,1,0
17145856,1.99,2021,147,4.5,989,2,21,37,4,12,1,0
25808896,0.0,182,0,0.0,1400,1,4,37,5,3,1,2
81924096,0.0,291787,589,5.0,1528,2,4,37,4,1,1,0
19451904,1.99,2441,4,5.0,1576,1,21,38,4,12,1,0
118683648,0.99,1372,25,4.0,461,0,7,37,2,1,1,0
723764224,249.99,773,10,3.5,1211,2,3,37,5,3,1,0
111275008,0.0,200047,177,4.0,1439,2,16,37,0,1,1,0
109616128,0.0,112,0,0.0,1212,0,13,37,5,17,1,0
120725504,0.0,148160,63,3.5,1542,2,19,37,5,1,1,0
68491264,0.0,108507,628,3.0,1267,2,21,37,5,2,1,2
122153984,0.0,46,0,0.0,1458,2,4,37,5,1,1,2
122315776,0.0,51427,874,5.0,1480,2,14,37,5,1,1,0
17010688,0.99,53821,165,4.0,468,0,7,43,1,1,0,0
3691520,0.0,38681,563,4.5,1136,2,1,37,3,28,1,0
31387648,0.99,17776,6,5.0,1176,2,7,37,0,11,1,0
135044096,0.0,287589,73088,4.5,691,2,18,12,0,35,1,0
55815168,2.99,7308,15,4.5,477,2,15,37,5,30,1,0
132632576,0.0,342969,88478,4.5,532,2,9,37,5,1,1,0
270729216,4.99,6093,3,5.0,234,2,7,37,5,7,1,0
39827456,4.99,5452,39,4.5,727,3,7,38,5,1,1,0
57328640,0.0,43064,216,2.5,998,2,5,37,0,2,1,2
