classifier,test_performance
K-Nearest Neighbors,0.3328694504027031
Decision Tree,0.7732013528151364
Gaussian Naive Bayes,0.17991352459178037
Bernoulli Naive Bayes,0.5451919402003395
Multinomial Naive Bayes,0.30599941566628985
Linear SVM,0.10192419135739424
Polynomial SVM,0.28897637795275594
RBF SVM,0.2890112772095463
Sigmoid SVM,0.2890112772095463
Logistic Regression,0.2890112772095463
